browser,run,phase,elapsedSec,processCount,cpuPercent,rssMB,batteryPercent,batterySource,pids
andromeda,1,launch,0.14,0,0.00,0.00,51,battery,""
andromeda,1,launch,2.25,5,0.90,403.34,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,launch,4.36,5,0.00,403.34,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,navigate,6.45,5,1.10,415.53,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,navigate,8.53,5,0.00,415.48,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,navigate,10.61,5,0.00,416.63,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,navigate,12.68,5,0.00,416.63,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,navigate,14.76,5,0.00,416.73,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,idle,16.85,5,0.40,416.97,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,idle,18.93,5,0.10,417.14,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,idle,21.01,5,0.00,417.14,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,idle,23.10,5,0.00,417.14,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,idle,25.19,5,0.00,417.02,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,idle,27.28,5,0.00,417.05,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,idle,29.36,5,0.00,417.02,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,idle,31.41,5,2.30,415.58,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,idle,33.50,5,0.00,415.58,51,battery,"79958 79964 79965 79966 79967"
andromeda,1,idle,35.58,5,0.00,415.58,51,battery,"79958 79964 79965 79966 79967"
