browser,run,phase,elapsedSec,processCount,cpuPercent,rssMB,batteryPercent,batterySource,pids
andromeda,1,launch,0.14,1,0.00,0.44,44,battery,"98562"
andromeda,1,launch,2.25,5,0.50,402.14,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,launch,4.36,5,0.00,402.14,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,navigate,6.44,5,0.00,402.30,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,navigate,8.52,5,0.40,402.34,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,navigate,10.60,5,1.90,402.34,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,navigate,12.67,5,1.10,404.48,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,navigate,14.75,5,4.30,408.94,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,navigate,16.82,5,4.10,409.63,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,navigate,18.90,5,2.00,409.95,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,navigate,20.98,5,0.00,409.98,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,23.04,5,0.00,410.05,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,25.11,5,0.00,410.06,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,27.20,5,0.00,410.09,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,29.29,5,0.00,401.52,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,31.37,5,5.90,330.41,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,33.45,5,0.00,330.41,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,35.53,5,0.00,330.38,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,37.61,5,0.00,330.38,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,39.69,5,0.00,330.38,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,41.77,5,0.00,330.38,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,43.85,5,0.00,330.38,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,45.93,5,0.00,330.38,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,48.01,5,0.00,330.39,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,50.09,5,0.00,330.39,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,52.16,5,0.00,330.39,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,54.22,5,0.00,330.39,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,56.35,5,0.00,330.39,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,58.42,5,0.00,330.39,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,60.49,5,0.30,331.11,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,62.58,5,0.00,332.69,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,64.66,5,0.10,332.69,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,66.73,5,0.00,332.69,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,68.81,5,0.00,332.69,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,70.89,5,0.00,332.69,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,72.97,5,0.00,332.69,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,75.11,5,0.00,332.69,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,77.19,5,0.00,332.69,44,battery,"98562 98594 98647 98648 98649"
andromeda,1,idle,79.26,5,0.00,332.69,44,battery,"98562 98594 98647 98648 98649"
