browser,run,phase,elapsedSec,processCount,cpuPercent,rssMB,batteryPercent,batterySource,pids
andromeda,1,launch,0.15,0,0.00,0.00,51,battery,""
andromeda,1,launch,2.26,5,2.30,350.77,51,battery,"75770 75776 75778 75779 75816"
andromeda,1,launch,4.37,5,0.00,350.78,51,battery,"75770 75776 75778 75779 75816"
andromeda,1,navigate,6.44,5,5.50,365.47,51,battery,"75770 75776 75778 75779 75816"
andromeda,1,navigate,8.53,5,0.00,365.48,51,battery,"75770 75776 75778 75779 75816"
andromeda,1,navigate,10.60,5,0.40,366.28,51,battery,"75770 75776 75778 75779 75816"
andromeda,1,navigate,12.68,5,0.00,366.30,51,battery,"75770 75776 75778 75779 75816"
andromeda,1,navigate,14.77,5,0.00,366.47,51,battery,"75770 75776 75778 75779 75816"
andromeda,1,idle,16.85,5,0.30,366.52,51,battery,"75770 75776 75778 75779 75816"
andromeda,1,idle,18.93,5,0.00,366.52,51,battery,"75770 75776 75778 75779 75816"
andromeda,1,idle,21.02,5,0.00,366.52,51,battery,"75770 75776 75778 75779 75816"
