browser,run,samples,wallSeconds,avgCpuPercent,peakCpuPercent,cpuSecondsApprox,avgRssMB,peakRssMB,avgProcessCount,peakProcessCount,batteryPercentDelta,batteryCapacityDelta,wasRunningBefore
helium,1,82,171.25,19.72,227.70,33.63,2028.97,2576.91,10.10,13,-1,-1,false
helium,2,80,167.95,13.63,152.40,22.77,1970.05,2445.86,10.01,12,0,0,false
helium,3,80,168.00,13.15,173.80,21.97,1897.34,2304.42,9.82,12,-1,-1,false
zen,1,81,169.53,8.44,182.70,14.22,2969.37,3203.59,13.27,14,-1,-1,false
zen,2,80,168.20,6.17,137.20,10.32,3015.75,3244.67,13.28,14,0,0,false
zen,3,80,167.89,5.98,153.60,9.99,3013.03,3239.78,13.28,14,-1,-1,false
andromeda,1,81,168.50,0.18,3.20,0.29,406.84,413.03,4.94,5,0,0,false
andromeda,2,81,168.41,0.14,7.00,0.23,405.92,412.64,4.94,5,-1,-1,false
andromeda,3,81,168.41,0.19,6.40,0.32,405.95,412.55,4.94,5,-1,-1,false
