browser,run,phase,elapsedSec,processCount,cpuPercent,rssMB,batteryPercent,batterySource,pids
andromeda,1,launch,0.26,1,0.00,0.14,46,battery,"88824"
andromeda,1,launch,2.35,5,0.30,404.72,46,battery,"88824 88856 88945 88946 88983"
andromeda,1,launch,4.46,5,0.00,404.72,46,battery,"88824 88856 88945 88946 88983"
andromeda,1,navigate,6.54,5,0.00,404.66,46,battery,"88824 88856 88945 88946 88983"
andromeda,1,navigate,8.61,5,0.00,404.66,46,battery,"88824 88856 88945 88946 88983"
andromeda,1,navigate,10.69,5,0.00,404.66,46,battery,"88824 88856 88945 88946 88983"
andromeda,1,navigate,12.76,5,0.00,404.58,46,battery,"88824 88856 88945 88946 88983"
andromeda,1,navigate,14.84,5,0.00,404.58,46,battery,"88824 88856 88945 88946 88983"
andromeda,1,navigate,16.93,5,0.00,404.61,46,battery,"88824 88856 88945 88946 88983"
andromeda,1,idle,19.00,5,0.00,404.61,46,battery,"88824 88856 88945 88946 88983"
andromeda,1,idle,21.07,5,3.80,408.86,46,battery,"88824 88856 88945 88946 88983"
andromeda,1,idle,23.15,5,4.90,409.63,46,battery,"88824 88856 88945 88946 88983"
andromeda,1,idle,25.23,5,0.20,409.69,46,battery,"88824 88856 88945 88946 88983"
