browser,run,phase,elapsedSec,processCount,cpuPercent,rssMB,batteryPercent,batterySource,pids
andromeda,1,launch,0.16,1,0.00,0.45,43,battery,"11578"
andromeda,1,launch,2.26,5,0.20,404.30,42,battery,"11578 11610 11663 11664 11701"
andromeda,1,launch,4.37,5,0.00,404.30,42,battery,"11578 11610 11663 11664 11701"
andromeda,1,navigate,6.45,5,0.00,404.50,42,battery,"11578 11610 11663 11664 11701"
andromeda,1,navigate,8.53,5,0.00,404.50,42,battery,"11578 11610 11663 11664 11701"
andromeda,1,navigate,10.61,5,0.00,404.50,42,battery,"11578 11610 11663 11664 11701"
andromeda,1,navigate,12.69,5,0.00,404.48,42,battery,"11578 11610 11663 11664 11701"
andromeda,1,navigate,14.77,5,0.00,404.48,42,battery,"11578 11610 11663 11664 11701"
andromeda,1,navigate,16.85,5,0.00,404.41,42,battery,"11578 11610 11663 11664 11701"
andromeda,1,idle,18.93,5,0.00,404.41,42,battery,"11578 11610 11663 11664 11701"
andromeda,1,idle,21.00,5,0.00,404.36,42,battery,"11578 11610 11663 11664 11701"
andromeda,1,idle,23.09,5,0.00,404.36,42,battery,"11578 11610 11663 11664 11701"
andromeda,1,idle,25.18,5,0.00,404.36,42,battery,"11578 11610 11663 11664 11701"
