browser,run,phase,elapsedSec,processCount,cpuPercent,rssMB,batteryPercent,batterySource,pids
andromeda,1,launch,0.14,0,0.00,0.00,41,battery,""
andromeda,1,launch,2.25,4,0.30,363.75,41,battery,"22002 22055 22056 22058"
andromeda,1,launch,4.36,4,0.00,335.27,41,battery,"22002 22055 22056 22058"
andromeda,1,navigate,6.42,4,0.10,335.64,41,battery,"22002 22055 22056 22058"
andromeda,1,navigate,8.50,4,0.00,335.64,41,battery,"22002 22055 22056 22058"
andromeda,1,navigate,10.58,4,1.60,335.66,41,battery,"22002 22055 22056 22058"
andromeda,1,navigate,12.65,4,0.10,335.84,41,battery,"22002 22055 22056 22058"
andromeda,1,navigate,14.73,4,0.70,335.84,41,battery,"22002 22055 22056 22058"
andromeda,1,navigate,16.81,4,0.00,330.03,41,battery,"22002 22055 22056 22058"
andromeda,1,navigate,18.89,4,1.20,330.03,41,battery,"22002 22055 22056 22058"
andromeda,1,navigate,20.97,4,1.00,330.03,41,battery,"22002 22055 22056 22058"
andromeda,1,navigate,23.05,4,0.00,330.02,41,battery,"22002 22055 22056 22058"
andromeda,1,idle,25.13,4,0.60,330.02,41,battery,"22002 22055 22056 22058"
andromeda,1,idle,27.21,4,0.00,330.03,41,battery,"22002 22055 22056 22058"
andromeda,1,idle,29.28,4,0.10,330.03,41,battery,"22002 22055 22056 22058"
andromeda,1,idle,31.36,4,4.00,330.98,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,33.43,4,0.00,330.98,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,35.52,4,0.20,330.98,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,37.59,4,0.70,331.58,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,39.67,4,0.00,331.61,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,41.76,4,0.80,320.94,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,43.84,4,0.00,320.94,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,45.93,4,0.00,320.92,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,48.01,4,0.00,320.80,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,50.10,4,0.00,320.80,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,52.17,4,0.00,320.80,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,54.25,4,0.00,320.78,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,56.34,4,0.00,320.78,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,58.41,4,0.00,320.78,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,60.49,4,0.60,321.39,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,62.58,4,0.00,322.00,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,64.66,4,0.20,322.00,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,66.73,4,0.00,322.00,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,68.82,4,0.00,321.92,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,70.90,4,0.00,321.92,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,72.98,4,0.00,321.92,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,75.06,4,0.00,321.92,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,77.14,4,0.00,321.92,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,79.22,4,0.00,321.92,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,81.30,4,0.00,321.92,40,battery,"22002 22055 22056 22058"
andromeda,1,idle,83.38,4,0.00,321.88,40,battery,"22002 22055 22056 22058"
