browser,run,phase,elapsedSec,processCount,cpuPercent,rssMB,batteryPercent,batterySource,pids
andromeda,1,launch,0.16,1,0.00,0.20,45,battery,"94036"
andromeda,1,launch,2.28,5,1.10,404.20,45,battery,"94036 94068 94121 94122 94123"
andromeda,1,launch,4.39,5,0.00,404.20,45,battery,"94036 94068 94121 94122 94123"
andromeda,1,navigate,6.48,5,0.00,404.44,45,battery,"94036 94068 94121 94122 94123"
andromeda,1,navigate,8.55,5,0.00,404.39,45,battery,"94036 94068 94121 94122 94123"
andromeda,1,navigate,10.63,5,0.00,404.39,45,battery,"94036 94068 94121 94122 94123"
andromeda,1,navigate,12.71,5,0.00,404.30,45,battery,"94036 94068 94121 94122 94123"
andromeda,1,navigate,14.79,5,0.00,404.38,45,battery,"94036 94068 94121 94122 94123"
andromeda,1,navigate,16.87,5,0.20,404.34,45,battery,"94036 94068 94121 94122 94123"
andromeda,1,idle,18.95,5,0.00,404.34,45,battery,"94036 94068 94121 94122 94123"
andromeda,1,idle,21.03,5,0.00,404.34,45,battery,"94036 94068 94121 94122 94123"
andromeda,1,idle,23.11,5,0.00,404.25,45,battery,"94036 94068 94121 94122 94123"
andromeda,1,idle,25.18,5,2.30,407.92,45,battery,"94036 94068 94121 94122 94123"
