browser,run,phase,elapsedSec,processCount,cpuPercent,rssMB,batteryPercent,batterySource,pids
andromeda,1,launch,0.81,0,0.00,0.00,36,battery,""
andromeda,1,launch,2.93,4,25.30,361.61,36,battery,"44612 44631 44632 44634"
andromeda,1,launch,5.03,4,25.50,358.91,36,battery,"44612 44631 44632 44634"
andromeda,1,navigate,7.14,5,0.10,478.11,36,battery,"44612 44631 44632 44634 45092"
andromeda,1,navigate,9.22,5,0.00,472.86,36,battery,"44612 44631 44632 44634 45092"
andromeda,1,navigate,11.29,6,123.30,716.22,36,battery,"44612 44631 44632 44634 45092 45903"
andromeda,1,navigate,13.37,6,41.40,787.02,36,battery,"44612 44631 44632 44634 45092 45903"
andromeda,1,navigate,15.43,7,50.90,764.98,36,battery,"44612 44631 44632 44634 45092 45903 46454"
andromeda,1,navigate,17.49,7,1.90,914.91,36,battery,"44612 44631 44632 44634 45092 45903 46454"
andromeda,1,navigate,19.57,7,0.30,912.42,36,battery,"44612 44631 44632 44634 45092 45903 46454"
andromeda,1,navigate,21.64,7,1.20,913.94,36,battery,"44612 44631 44632 44634 45092 45903 46454"
andromeda,1,idle,23.72,7,0.30,913.95,36,battery,"44612 44631 44632 44634 45092 45903 46454"
andromeda,1,idle,25.80,7,0.60,913.97,36,battery,"44612 44631 44632 44634 45092 45903 46454"
andromeda,1,idle,27.88,7,0.30,913.98,36,battery,"44612 44631 44632 44634 45092 45903 46454"
