browser,run,phase,elapsedSec,processCount,cpuPercent,rssMB,batteryPercent,batterySource,pids
andromeda,1,launch,0.15,0,0.00,0.00,41,battery,""
andromeda,1,launch,2.25,4,0.60,365.25,41,battery,"17606 17659 17660 17662"
andromeda,1,launch,4.36,4,0.00,365.25,41,battery,"17606 17659 17660 17662"
andromeda,1,navigate,6.44,4,0.00,365.44,41,battery,"17606 17659 17660 17662"
andromeda,1,navigate,8.52,4,0.00,365.39,41,battery,"17606 17659 17660 17662"
andromeda,1,navigate,10.60,4,0.30,365.39,41,battery,"17606 17659 17660 17662"
andromeda,1,navigate,12.68,4,0.00,365.39,41,battery,"17606 17659 17660 17662"
andromeda,1,navigate,14.76,4,0.00,365.41,41,battery,"17606 17659 17660 17662"
andromeda,1,navigate,16.84,4,0.10,365.42,41,battery,"17606 17659 17660 17662"
andromeda,1,idle,18.92,4,0.00,365.42,41,battery,"17606 17659 17660 17662"
andromeda,1,idle,21.00,4,0.00,365.42,41,battery,"17606 17659 17660 17662"
andromeda,1,idle,23.07,4,0.00,365.34,41,battery,"17606 17659 17660 17662"
andromeda,1,idle,25.16,4,0.00,365.34,41,battery,"17606 17659 17660 17662"
